Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+3.000000000E+09
Stop Frequency,+3.050000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
3.000000e+09,-1.865988e+01
3.000250e+09,-2.028875e+01
3.000500e+09,-2.062098e+01
3.000750e+09,-2.030138e+01
3.001000e+09,-1.953605e+01
3.001250e+09,-2.161819e+01
3.001500e+09,-2.058387e+01
3.001750e+09,-2.259615e+01
3.002000e+09,-1.931184e+01
3.002250e+09,-2.272265e+01
3.002500e+09,-1.910421e+01
3.002750e+09,-2.244701e+01
3.003000e+09,-1.990656e+01
3.003250e+09,-1.930087e+01
3.003500e+09,-2.045590e+01
3.003750e+09,-1.961650e+01
3.004000e+09,-1.950989e+01
3.004250e+09,-2.037653e+01
3.004500e+09,-2.075841e+01
3.004750e+09,-2.187311e+01
3.005000e+09,-2.176298e+01
3.005250e+09,-2.202105e+01
3.005500e+09,-2.393897e+01
3.005750e+09,-2.489335e+01
3.006000e+09,-2.235045e+01
3.006250e+09,-2.723387e+01
3.006500e+09,-2.556486e+01
3.006750e+09,-2.839290e+01
3.007000e+09,-2.597310e+01
3.007250e+09,-3.017047e+01
3.007500e+09,-2.901033e+01
3.007750e+09,-4.525192e+01
3.008000e+09,-3.750819e+01
3.008250e+09,-3.295850e+01
3.008500e+09,-3.522477e+01
3.008750e+09,-4.263993e+01
3.009000e+09,-3.051261e+01
3.009250e+09,-3.465061e+01
3.009500e+09,-4.191357e+01
3.009750e+09,-2.847931e+01
3.010000e+09,-2.866805e+01
3.010250e+09,-3.080909e+01
3.010500e+09,-2.920665e+01
3.010750e+09,-3.057913e+01
3.011000e+09,-2.967067e+01
3.011250e+09,-2.594629e+01
3.011500e+09,-2.686179e+01
3.011750e+09,-2.760000e+01
3.012000e+09,-2.494912e+01
3.012250e+09,-2.471127e+01
3.012500e+09,-2.425462e+01
3.012750e+09,-2.270479e+01
3.013000e+09,-2.108725e+01
3.013250e+09,-2.267257e+01
3.013500e+09,-2.088626e+01
3.013750e+09,-2.114583e+01
3.014000e+09,-2.045283e+01
3.014250e+09,-1.948659e+01
3.014500e+09,-1.955634e+01
3.014750e+09,-1.885337e+01
3.015000e+09,-1.965949e+01
3.015250e+09,-2.104043e+01
3.015500e+09,-1.884263e+01
3.015750e+09,-1.873172e+01
3.016000e+09,-1.827861e+01
3.016250e+09,-1.918401e+01
3.016500e+09,-2.046527e+01
3.016750e+09,-1.863049e+01
3.017000e+09,-1.862399e+01
3.017250e+09,-1.953982e+01
3.017500e+09,-1.762844e+01
3.017750e+09,-1.853753e+01
3.018000e+09,-1.859280e+01
3.018250e+09,-1.705999e+01
3.018500e+09,-1.780292e+01
3.018750e+09,-1.892942e+01
3.019000e+09,-1.821354e+01
3.019250e+09,-2.003124e+01
3.019500e+09,-1.871558e+01
3.019750e+09,-1.727364e+01
3.020000e+09,-1.755821e+01
3.020250e+09,-1.783193e+01
3.020500e+09,-1.708930e+01
3.020750e+09,-1.799732e+01
3.021000e+09,-1.818058e+01
3.021250e+09,-1.830527e+01
3.021500e+09,-1.844960e+01
3.021750e+09,-2.009970e+01
3.022000e+09,-1.977376e+01
3.022250e+09,-1.918543e+01
3.022500e+09,-2.068313e+01
3.022750e+09,-2.056330e+01
3.023000e+09,-2.194919e+01
3.023250e+09,-2.295105e+01
3.023500e+09,-2.455837e+01
3.023750e+09,-2.693716e+01
3.024000e+09,-2.608637e+01
3.024250e+09,-3.100426e+01
3.024500e+09,-2.868093e+01
3.024750e+09,-2.957907e+01
3.025000e+09,-3.695925e+01
3.025250e+09,-3.781422e+01
3.025500e+09,-4.870409e+01
3.025750e+09,-4.471985e+01
3.026000e+09,-4.020439e+01
3.026250e+09,-3.290531e+01
3.026500e+09,-4.121147e+01
3.026750e+09,-3.014269e+01
3.027000e+09,-3.378766e+01
3.027250e+09,-3.303660e+01
3.027500e+09,-2.874043e+01
3.027750e+09,-3.193392e+01
3.028000e+09,-2.859366e+01
3.028250e+09,-2.801234e+01
3.028500e+09,-2.747748e+01
3.028750e+09,-2.571017e+01
3.029000e+09,-2.554417e+01
3.029250e+09,-2.499633e+01
3.029500e+09,-2.415643e+01
3.029750e+09,-2.087374e+01
3.030000e+09,-2.181581e+01
3.030250e+09,-2.064218e+01
3.030500e+09,-2.169699e+01
3.030750e+09,-2.045528e+01
3.031000e+09,-2.059871e+01
3.031250e+09,-1.817495e+01
3.031500e+09,-1.915347e+01
3.031750e+09,-1.818812e+01
3.032000e+09,-1.843861e+01
3.032250e+09,-1.848799e+01
3.032500e+09,-1.704954e+01
3.032750e+09,-1.680148e+01
3.033000e+09,-1.725800e+01
3.033250e+09,-1.591162e+01
3.033500e+09,-1.561315e+01
3.033750e+09,-1.680504e+01
3.034000e+09,-1.599249e+01
3.034250e+09,-1.672449e+01
3.034500e+09,-1.618745e+01
3.034750e+09,-1.621233e+01
3.035000e+09,-1.741146e+01
3.035250e+09,-1.682302e+01
3.035500e+09,-1.755639e+01
3.035750e+09,-1.862284e+01
3.036000e+09,-1.899549e+01
3.036250e+09,-1.888755e+01
3.036500e+09,-1.968097e+01
3.036750e+09,-2.111804e+01
3.037000e+09,-2.039601e+01
3.037250e+09,-2.065626e+01
3.037500e+09,-2.398476e+01
3.037750e+09,-2.317525e+01
3.038000e+09,-2.237725e+01
3.038250e+09,-2.560211e+01
3.038500e+09,-2.560299e+01
3.038750e+09,-2.476191e+01
3.039000e+09,-2.582888e+01
3.039250e+09,-2.366576e+01
3.039500e+09,-2.464834e+01
3.039750e+09,-2.954774e+01
3.040000e+09,-2.825387e+01
3.040250e+09,-2.691314e+01
3.040500e+09,-2.702496e+01
3.040750e+09,-2.430557e+01
3.041000e+09,-2.853179e+01
3.041250e+09,-2.421269e+01
3.041500e+09,-2.740589e+01
3.041750e+09,-2.634913e+01
3.042000e+09,-2.488387e+01
3.042250e+09,-2.754942e+01
3.042500e+09,-2.533005e+01
3.042750e+09,-2.895574e+01
3.043000e+09,-2.852877e+01
3.043250e+09,-2.756304e+01
3.043500e+09,-2.739558e+01
3.043750e+09,-2.534644e+01
3.044000e+09,-2.268366e+01
3.044250e+09,-2.766011e+01
3.044500e+09,-2.524746e+01
3.044750e+09,-2.631967e+01
3.045000e+09,-2.795699e+01
3.045250e+09,-2.547094e+01
3.045500e+09,-2.692550e+01
3.045750e+09,-2.596487e+01
3.046000e+09,-2.852358e+01
3.046250e+09,-2.507955e+01
3.046500e+09,-2.530726e+01
3.046750e+09,-2.656748e+01
